idx,mask_type,metric,region,method,value
19329,center,ssim,full,baseline,0.8046661615371704
19329,center,ssim,full,repaint,0.8201580047607422
19329,center,ssim,full,bar,0.8166249990463257
19329,center,ssim,hole,baseline,0.6250478625297546
19329,center,ssim,hole,repaint,0.7076932191848755
19329,center,ssim,hole,bar,0.6874365210533142
19329,center,ssim,known,baseline,0.8389588594436646
19329,center,ssim,known,repaint,0.841629683971405
19329,center,ssim,known,bar,0.8412896990776062
19329,half,ssim,full,baseline,0.5956318378448486
19329,half,ssim,full,repaint,0.6416020393371582
19329,half,ssim,full,bar,0.6177651882171631
19329,half,ssim,hole,baseline,0.35018816590309143
19329,half,ssim,hole,repaint,0.45010218024253845
19329,half,ssim,hole,bar,0.39800339937210083
19329,half,ssim,known,baseline,0.841075599193573
19329,half,ssim,known,repaint,0.8331019878387451
19329,half,ssim,known,bar,0.8375269174575806
19329,brush,ssim,full,baseline,0.7537919282913208
19329,brush,ssim,full,repaint,0.7847061157226562
19329,brush,ssim,full,bar,0.7705931663513184
19329,brush,ssim,hole,baseline,0.5897175669670105
19329,brush,ssim,hole,repaint,0.6781904101371765
19329,brush,ssim,hole,bar,0.6358153223991394
19329,brush,ssim,known,baseline,0.8232299089431763
19329,brush,ssim,known,repaint,0.829784631729126
19329,brush,ssim,known,bar,0.8276326656341553
7847,center,ssim,full,baseline,0.8932380676269531
7847,center,ssim,full,repaint,0.9055449962615967
7847,center,ssim,full,bar,0.8932952284812927
7847,center,ssim,hole,baseline,0.7170466780662537
7847,center,ssim,hole,repaint,0.7852562665939331
7847,center,ssim,hole,bar,0.7220467925071716
7847,center,ssim,known,baseline,0.926876425743103
7847,center,ssim,known,repaint,0.9285104870796204
7847,center,ssim,known,bar,0.9259898662567139
7847,half,ssim,full,baseline,0.6049431562423706
7847,half,ssim,full,repaint,0.6776391267776489
7847,half,ssim,full,bar,0.6903554201126099
7847,half,ssim,hole,baseline,0.27712586522102356
7847,half,ssim,hole,repaint,0.42985665798187256
7847,half,ssim,hole,bar,0.447776198387146
7847,half,ssim,known,baseline,0.9327603578567505
7847,half,ssim,known,repaint,0.9254215955734253
7847,half,ssim,known,bar,0.9329345226287842
7847,brush,ssim,full,baseline,0.8496232032775879
7847,brush,ssim,full,repaint,0.8756341338157654
7847,brush,ssim,full,bar,0.8679066896438599
7847,brush,ssim,hole,baseline,0.7116209268569946
7847,brush,ssim,hole,repaint,0.7807689905166626
7847,brush,ssim,hole,bar,0.7596617341041565
7847,brush,ssim,known,baseline,0.899724543094635
7847,brush,ssim,known,repaint,0.9100746512413025
7847,brush,ssim,known,bar,0.907204806804657
10215,center,ssim,full,baseline,0.9105097055435181
10215,center,ssim,full,repaint,0.8852822780609131
10215,center,ssim,full,bar,0.9138089418411255
10215,center,ssim,hole,baseline,0.763161301612854
10215,center,ssim,hole,repaint,0.7787348031997681
10215,center,ssim,hole,bar,0.7735992074012756
10215,center,ssim,known,baseline,0.9386413097381592
10215,center,ssim,known,repaint,0.905624270439148
10215,center,ssim,known,bar,0.9405777454376221
10215,half,ssim,full,baseline,0.6474015116691589
10215,half,ssim,full,repaint,0.6902551651000977
10215,half,ssim,full,bar,0.7141977548599243
10215,half,ssim,hole,baseline,0.341856449842453
10215,half,ssim,hole,repaint,0.4657263159751892
10215,half,ssim,hole,bar,0.48336076736450195
10215,half,ssim,known,baseline,0.9529465436935425
10215,half,ssim,known,repaint,0.9147840738296509
10215,half,ssim,known,bar,0.9450347423553467
10215,brush,ssim,full,baseline,0.8733459115028381
10215,brush,ssim,full,repaint,0.8972278833389282
10215,brush,ssim,full,bar,0.8962455987930298
10215,brush,ssim,hole,baseline,0.7586044669151306
10215,brush,ssim,hole,repaint,0.838968813419342
10215,brush,ssim,hole,bar,0.8359727263450623
10215,brush,ssim,known,baseline,0.9193400144577026
10215,brush,ssim,known,repaint,0.9205811023712158
10215,brush,ssim,known,bar,0.9204060435295105
11279,center,ssim,full,baseline,0.8378992080688477
11279,center,ssim,full,repaint,0.8493243455886841
11279,center,ssim,full,bar,0.8504990339279175
11279,center,ssim,hole,baseline,0.7114558815956116
11279,center,ssim,hole,repaint,0.7693056464195251
11279,center,ssim,hole,bar,0.7833631634712219
11279,center,ssim,known,baseline,0.8620396852493286
11279,center,ssim,known,repaint,0.8646013736724854
11279,center,ssim,known,bar,0.8633165955543518
11279,half,ssim,full,baseline,0.6528668999671936
11279,half,ssim,full,repaint,0.7041459679603577
11279,half,ssim,full,bar,0.6911898255348206
11279,half,ssim,hole,baseline,0.3942098021507263
11279,half,ssim,hole,repaint,0.496456503868103
11279,half,ssim,hole,bar,0.4720829725265503
11279,half,ssim,known,baseline,0.9115240573883057
11279,half,ssim,known,repaint,0.9118353724479675
11279,half,ssim,known,bar,0.9102967381477356
11279,brush,ssim,full,baseline,0.8245605230331421
11279,brush,ssim,full,repaint,0.8059124946594238
11279,brush,ssim,full,bar,0.8295745849609375
11279,brush,ssim,hole,baseline,0.6770633459091187
11279,brush,ssim,hole,repaint,0.7138451337814331
11279,brush,ssim,hole,bar,0.7138508558273315
11279,brush,ssim,known,baseline,0.8604390025138855
11279,brush,ssim,known,repaint,0.8283077478408813
11279,brush,ssim,known,bar,0.8577242493629456
12714,center,ssim,full,baseline,0.9064375162124634
12714,center,ssim,full,repaint,0.9128705263137817
12714,center,ssim,full,bar,0.9148663282394409
12714,center,ssim,hole,baseline,0.7057140469551086
12714,center,ssim,hole,repaint,0.7434537410736084
12714,center,ssim,hole,bar,0.7471969127655029
12714,center,ssim,known,baseline,0.9447595477104187
12714,center,ssim,known,repaint,0.9452155232429504
12714,center,ssim,known,bar,0.946877658367157
12714,half,ssim,full,baseline,0.6521923542022705
12714,half,ssim,full,repaint,0.7508727312088013
12714,half,ssim,full,bar,0.7662795782089233
12714,half,ssim,hole,baseline,0.3640332520008087
12714,half,ssim,hole,repaint,0.5707528591156006
12714,half,ssim,hole,bar,0.5934194326400757
12714,half,ssim,known,baseline,0.9403513669967651
12714,half,ssim,known,repaint,0.930992603302002
12714,half,ssim,known,bar,0.939139723777771
12714,brush,ssim,full,baseline,0.8734838366508484
12714,brush,ssim,full,repaint,0.8985570669174194
12714,brush,ssim,full,bar,0.8860070705413818
12714,brush,ssim,hole,baseline,0.7884683012962341
12714,brush,ssim,hole,repaint,0.8472634553909302
12714,brush,ssim,hole,bar,0.8196744918823242
12714,brush,ssim,known,baseline,0.9224914908409119
12714,brush,ssim,known,repaint,0.9281255602836609
12714,brush,ssim,known,bar,0.9242448806762695
13646,center,ssim,full,baseline,0.7225576043128967
13646,center,ssim,full,repaint,0.7307232618331909
13646,center,ssim,full,bar,0.7385342121124268
13646,center,ssim,hole,baseline,0.5080643892288208
