metric,region,mask_type,method,n,mean,std,median,min,max,rank
fid,all,all,bar,1,39.68071303177382,0.0,39.68071303177382,39.68071303177382,39.68071303177382,1
fid,all,all,baseline,1,44.731638952398015,0.0,44.731638952398015,44.731638952398015,44.731638952398015,2
fid,all,all,repaint,1,61.82478186270569,0.0,61.82478186270569,61.82478186270569,61.82478186270569,3
fid,all,brush,bar,1,21.25192924551675,0.0,21.25192924551675,21.25192924551675,21.25192924551675,1
fid,all,brush,baseline,1,21.375018421226684,0.0,21.375018421226684,21.375018421226684,21.375018421226684,2
fid,all,brush,repaint,1,32.40270008280106,0.0,32.40270008280106,32.40270008280106,32.40270008280106,3
fid,all,center,baseline,1,26.376098487838902,0.0,26.376098487838902,26.376098487838902,26.376098487838902,1
fid,all,center,bar,1,36.29818793382469,0.0,36.29818793382469,36.29818793382469,36.29818793382469,2
fid,all,center,repaint,1,75.49245909780618,0.0,75.49245909780618,75.49245909780618,75.49245909780618,3
fid,all,half,bar,1,89.05122602776851,0.0,89.05122602776851,89.05122602776851,89.05122602776851,1
fid,all,half,baseline,1,112.30777608763714,0.0,112.30777608763714,112.30777608763714,112.30777608763714,2
fid,all,half,repaint,1,120.60488574827019,0.0,120.60488574827019,120.60488574827019,120.60488574827019,3
lpips,full,brush,baseline,100,0.09978666733950377,0.024552527534185496,0.09695600718259811,0.05700795724987984,0.2203069031238556,1
lpips,full,brush,bar,100,0.10260891068726778,0.027344171131146434,0.09852799400687218,0.052233051508665085,0.22427834570407867,2
lpips,full,brush,repaint,100,0.13263675160706043,0.04265565711224023,0.12434255331754684,0.06262212991714478,0.3443427085876465,3
lpips,full,center,baseline,100,0.08384634200483561,0.021414945233180775,0.08005575835704803,0.048484958708286285,0.1704474538564682,1
lpips,full,center,bar,100,0.09276113629341126,0.02456590599946641,0.08602378889918327,0.05995194613933563,0.21433447301387787,2
lpips,full,center,repaint,100,0.13164495125412942,0.029858078332868253,0.13364145159721375,0.07019996643066406,0.25391826033592224,3
lpips,full,half,baseline,100,0.31152368485927584,0.05693730652537597,0.3105660378932953,0.21602635085582733,0.44502654671669006,1
lpips,full,half,bar,100,0.3978634071350098,0.04262182372954391,0.39793746173381805,0.2928240895271301,0.5116374492645264,2
lpips,full,half,repaint,100,0.4612994822859764,0.03557460477632741,0.46528372168540955,0.3520442247390747,0.5613207817077637,3
lpips,hole,brush,baseline,100,0.04114063278771937,0.013581421018795907,0.03896021656692028,0.015077765099704266,0.07662320137023926,1
lpips,hole,brush,bar,100,0.04365606540814042,0.01553763022835399,0.04153602942824364,0.013623012229800224,0.08575548231601715,2
lpips,hole,brush,repaint,100,0.05884851260110736,0.024732967946691917,0.05368812941014767,0.016132699325680733,0.1193573996424675,3
lpips,hole,center,baseline,100,0.04569154765456915,0.014590630425513408,0.042422911152243614,0.022003229707479477,0.10269876569509506,1
lpips,hole,center,bar,100,0.05455189311876893,0.016793471947260562,0.04897209256887436,0.027972960844635963,0.10957710444927216,2
